标题,播放量,评论数,收藏数,点赞数,弹幕数,视频时长,视频链接
一个视频搞定！大学英语四六级考试全套精讲课程零基础备考（听力&amp;词汇&amp;语法&amp;阅读理解&amp;翻译&amp;写作）完整免费 考试一把过 英语小白救星,4577749,7409,323262,130625,100626,5499:57,http://www.bilibili.com/video/av736557000
30天稳过四六级！！四六级600+北外学姐带你飞~,1012204,1758,88824,68353,12716,10:7,http://www.bilibili.com/video/av304881213
【刘晓燕六级】24年6月大学英语六级全程班,40961,0,0,0,0,,https://www.bilibili.com/cheese/play/ss12624?query_from=0&search_id=3374977575959074519&search_query=%E5%A4%A7%E5%AD%A6%E8%8B%B1%E8%AF%AD%E5%9B%9B%E5%85%AD%E7%BA%A7
【更新版】大学英语四级六级考试零基础备考完整精讲真题课程|对啊网（背单词词汇&amp;听力&amp;阅读理解&amp;翻译&amp;写作&amp;口语&amp;语法）,7321087,4879,443936,162089,50064,3311:24,http://www.bilibili.com/video/av43421290
【四六级考前急救】临时抱佛脚？揭秘出题人套路【考场必备】|英语|考试|学习|四级|六级|经验分享,5393688,90357,490637,623981,433969,5:57,http://www.bilibili.com/video/av798042737
两小时搞定大学英语四级（CET4）！（又名：如何科学地瞎蒙）,433906,1624,51675,28380,7967,131:53,http://www.bilibili.com/video/av280837224
6月15日！大学英语四六级考试！11篇翻译预测已出！,2567,30,422,190,101,11:12,http://www.bilibili.com/video/av1854104252
[最新]2023年12月大学英语四六级【考前救命3小时预测】-文都考研何凯文,652958,2140,45202,28006,32139,176:9,http://www.bilibili.com/video/av964453149
【刘晓燕四级】24年6月大学英语四级全程班,74941,0,0,0,0,,https://www.bilibili.com/cheese/play/ss12617?query_from=0&search_id=3374977575959074519&search_query=%E5%A4%A7%E5%AD%A6%E8%8B%B1%E8%AF%AD%E5%9B%9B%E5%85%AD%E7%BA%A7
英语四六级一把过，单词这样背！【建议收藏】,90966,77,3486,2526,16,3:51,http://www.bilibili.com/video/av472632545
给准大一：大学考四六级全流程,25400,51,2741,1637,2,5:40,http://www.bilibili.com/video/av788165765
要想过英语六级，请反复听这50篇真题（音频+双语字幕版）,1897638,1342,195198,62576,2373,172:34,http://www.bilibili.com/video/av721540038
大学英语四级语法,86876,57,6380,1874,478,195:49,http://www.bilibili.com/video/av753257951
【陈正康】大学英语四六级语法与长难句（完结）,140356,117,8183,2879,2512,263:37,http://www.bilibili.com/video/av73245975
石雷鹏：英语六级全程系统班,21078,0,0,0,0,,https://www.bilibili.com/cheese/play/ss14357?query_from=0&search_id=3374977575959074519&search_query=%E5%A4%A7%E5%AD%A6%E8%8B%B1%E8%AF%AD%E5%9B%9B%E5%85%AD%E7%BA%A7
【中国式背单词】21天刷完2022大学英语四级核心单词（中英双语拼读）,140663,74,9468,3125,849,485:9,http://www.bilibili.com/video/av596766869
张雪峰谈大学英语四六级的由来，真的涨知识了……,156126,364,713,5175,164,1:57,http://www.bilibili.com/video/av254582823
一个视频，从0到1带你备考英语四六级！,450513,642,33486,32983,3425,34:13,http://www.bilibili.com/video/av873791859
看完必得A的四六级口语万能模板+各部分流程讲解+自我介绍,167383,606,8577,6653,478,4:18,http://www.bilibili.com/video/av528644802
2024 年 6 月四六级翻译预测，背完稳,6278,168,928,315,108,10:0,http://www.bilibili.com/video/av1104023511
【六级听力+阅读】双门真题解析课 （23.12月,31993,0,0,0,0,,https://www.bilibili.com/cheese/play/ss17344?query_from=0&search_id=3374977575959074519&search_query=%E5%A4%A7%E5%AD%A6%E8%8B%B1%E8%AF%AD%E5%9B%9B%E5%85%AD%E7%BA%A7
【CET-6 英语四六级听力】最新最全每天半小时听力-更新至2023年3月最新版  修正版（简介领取六级真题哦）！,3112751,2264,213798,76471,12464,399:30,http://www.bilibili.com/video/av506362222
只用几小时搞定大学英语六级（CET6）！（又名：如何更加科学地瞎蒙）,130039,733,12726,6357,1086,130:7,http://www.bilibili.com/video/av409110787
大学英语四六级（CET46）官网口试录像视频,73996,120,1726,1639,243,16:43,http://www.bilibili.com/video/av373281859
【四六级写作合集】三小时带你搞定写作！全网最简单粗暴能提分的四六级教程！,1653322,1666,102297,44470,19864,156:43,http://www.bilibili.com/video/av676923100
【大学英语四级】考试介绍和备考建议,354808,571,12386,12052,292,5:14,http://www.bilibili.com/video/av986333000
四六级一次过，北外学姐保姆级备考攻略！时间规划、刷题攻略、备考资料,697836,1156,64862,48987,2463,5:40,http://www.bilibili.com/video/av632738099
大学英语六级听力有多难！现在我说话可以大声了吗？,508865,1182,4018,24090,568,3:51,http://www.bilibili.com/video/av407726905
康康|四六级没复习?考前急救技巧|10分钟手把手教你临时抱佛脚|附PDF复习资料|大学生英语四级|六级|裸考|校园,1462848,6682,99593,227269,78462,12:12,http://www.bilibili.com/video/av78007851
1小时速刷大学英语六级考试考纲单词汇总（乱序）,103643,122,9008,4220,194,63:14,http://www.bilibili.com/video/av954043559
【免费送】2024年6月英语四六级网课及资料合集资源,1531,14,76,101,2,0:13,http://www.bilibili.com/video/av1154095513
颉斌斌老师大学英语四六级阅读历年真题精讲,1076776,1274,46283,15712,9900,631:38,http://www.bilibili.com/video/av510109233
1小时狂刷大学六级核心英语2000词，快速记住高效提分！大学六级英语真题核心词汇速记磨耳朵带背,73090,389,8624,5687,43,87:44,http://www.bilibili.com/video/av663534408
【四六级备考】基础差如何备考？不看后悔！四六级600+学长独家经验分享， 内附压箱底英语四六级学习以及单词各类真题资源,239161,771,14193,13987,8152,7:29,http://www.bilibili.com/video/av336315249
躺着也能背！7天刷完最全大学英语四级考试单词核心词汇(英文带背+中文带背),111844,131,7546,3426,272,134:27,http://www.bilibili.com/video/av266703603
【模拟考场】2021年大学英语四六级考试流程2h全套预测,46579,106,1970,1153,46,307:6,http://www.bilibili.com/video/av973516011
【一个月过四六级】698分学长良心分享：剩下30天四六级怎么学？不讲废话，几十页笔记7分钟教会你写作听力翻译阅读备考经验方法（附学长四六级独家笔记）,153007,386,12138,9183,2711,7:41,http://www.bilibili.com/video/av336853524
大学英语四六级翻译，单词不会也能拿分100+,147979,209,9286,11440,71,2:35,http://www.bilibili.com/video/av506872343
大学英语六级——保命班,61945,858,2476,1004,1596,357:20,http://www.bilibili.com/video/av74376794
四六级英语听力保姆级教程！1个月5步得满分！,107606,120,6534,6465,48,2:24,http://www.bilibili.com/video/av421693177
石雷鹏：英语四级直通车Pro,47819,0,0,0,0,,https://www.bilibili.com/cheese/play/ss14356?query_from=0&search_id=3374977575959074519&search_query=%E5%A4%A7%E5%AD%A6%E8%8B%B1%E8%AF%AD%E5%9B%9B%E5%85%AD%E7%BA%A7
6月15号！大学英语四六级！10篇翻译预测已出，考试确定从里面抽！,4118,62,448,217,3,3:22,http://www.bilibili.com/video/av1953846830
【免费送】2024年6月英语四六级网课及资料合集资源,1531,14,76,101,2,0:13,http://www.bilibili.com/video/av1154095513
颉斌斌老师大学英语四六级阅读历年真题精讲,1076776,1274,46283,15712,9900,631:38,http://www.bilibili.com/video/av510109233
1小时狂刷大学六级核心英语2000词，快速记住高效提分！大学六级英语真题核心词汇速记磨耳朵带背,73090,389,8624,5687,43,87:44,http://www.bilibili.com/video/av663534408
【四六级备考】基础差如何备考？不看后悔！四六级600+学长独家经验分享， 内附压箱底英语四六级学习以及单词各类真题资源,239161,771,14193,13987,8152,7:29,http://www.bilibili.com/video/av336315249
躺着也能背！7天刷完最全大学英语四级考试单词核心词汇(英文带背+中文带背),111844,131,7546,3426,272,134:27,http://www.bilibili.com/video/av266703603
【模拟考场】2021年大学英语四六级考试流程2h全套预测,46579,106,1970,1153,46,307:6,http://www.bilibili.com/video/av973516011
【一个月过四六级】698分学长良心分享：剩下30天四六级怎么学？不讲废话，几十页笔记7分钟教会你写作听力翻译阅读备考经验方法（附学长四六级独家笔记）,153007,386,12138,9183,2711,7:41,http://www.bilibili.com/video/av336853524
大学英语四六级翻译，单词不会也能拿分100+,147979,209,9286,11440,71,2:35,http://www.bilibili.com/video/av506872343
大学英语六级——保命班,61945,858,2476,1004,1596,357:20,http://www.bilibili.com/video/av74376794
11天背完四六级词汇，每天半小时（用四大经典方法背单词）限时全免,714052,462,41526,12912,9739,375:27,http://www.bilibili.com/video/av82580262
