标题,播放量,评论数,收藏数,点赞数,视频时长,视频链接
【比刷剧还爽！】一小时讲完中国近现代史纲要！｜史纲一小时速成,618,1639,[],59249,39828,http://www.bilibili.com/video/av648521185
【附题库】2024升级版【自考】03708 公共课 中国近现代史纲要 全国适用零基础【精讲串讲笔记密训】【完整版】｜成考 国开 专升本 专接本 专插本尚德机构,1114,467,[],3594,1354,http://www.bilibili.com/video/av281510281
自考/专升本公共课必看-中国近现代史纲要,0,0,[],0,0,https://www.bilibili.com/cheese/play/ss3182?query_from=0&search_id=5342841973711627838&search_query=%E4%B8%AD%E5%9B%BD%E8%BF%91%E7%8E%B0%E4%BB%A3%E5%8F%B2%E7%BA%B2%E8%A6%81
23版中国近现代史纲要期末笔记➕题库（选择➕论述➕简答题）老师给的题库！！！小白看过来！！！,0,7,[],16,16,http://www.bilibili.com/video/av1904153980
最新【2023版中国近现代史纲要】3小时速成课|中国近现代史纲要期末不挂科！（附赠资料）,90,205,[],11364,5886,http://www.bilibili.com/video/av670427479
【武汉大学】中国近现代史纲要（全72讲）宋俭,12,29,[],3417,851,http://www.bilibili.com/video/av528200099
15分钟刷完中国近现代史纲要！（时间线梳理及重点汇总）,235,243,[],8628,6510,http://www.bilibili.com/video/av444756414
中国近代史纲要,471,14,[],5527,2049,http://www.bilibili.com/video/av414724313
【自考本|睡前磨耳】21个考点攻克《近现代史》70分!,96,176,[],4578,2063,http://www.bilibili.com/video/av260516930
《中国近现代史纲要（字幕版）》南开大学 赵铁锁,19,13,[],529,140,http://www.bilibili.com/video/av346662806
10分钟梳理中国近现代史纲要时间轴‖考研政治史纲,552,416,[],11089,11575,http://www.bilibili.com/video/av962836601
【挑战5h搞定中国近现代史】每天10min，保60争90！【26.第八章】,356,167,[],33428,31970,http://www.bilibili.com/video/av864487887
中国近现代史纲要,10,4,[],1807,766,http://www.bilibili.com/video/av260962824
【中国近现代史纲要】   中南大学   吴争春教授,0,0,[],91,18,http://www.bilibili.com/video/av1401024375
中国近现代史纲要,782,68,[],1872,512,http://www.bilibili.com/video/av211150844
03708中国近现代史纲要（2021年4月考期）已完结,12953,1721,[],17477,5417,http://www.bilibili.com/video/av843759414
自考本科公共基础课|中国近现代史纲要,816,190,[],4050,1070,http://www.bilibili.com/video/av81880421
【汉语言文学】《中国近现代史纲要（1840-1990）-姬丽萍(南开大学)》 YW-GJJJPK 国家级精品课-语文 （30讲）,18,11,[],873,146,http://www.bilibili.com/video/av69713915
中国近现代史纲要-易错选择题-2310考期,62,52,[],1036,611,http://www.bilibili.com/video/av364879667
【核心考点系列】一张图搞定【中国近现代史纲要（2023年版）】核心考点---2025考研、期末考试等均使用,0,6,[],73,24,http://www.bilibili.com/video/av1653363264
【已更完】2022.4自考近现代史纲要大题带背，联想记忆，无痛学习，一天背完不是梦,868,398,[],15059,6075,http://www.bilibili.com/video/av980308717
【武汉大学】《中国近现代史纲要》（全72讲）宋俭,0,3,[],146,30,http://www.bilibili.com/video/av449397924
中国近现代史纲要-命题人知识点精讲精练,122,11,[],1511,287,http://www.bilibili.com/video/av35490807
自考03708中国近现代史纲要【免费】领取本课程学习资料包，请到视频中【扫码下载】学程教育官方APP,118,42,[],3091,718,http://www.bilibili.com/video/av497865285
【中国近现代史】每天2分钟，带你轻松上岸,38,58,[],6489,2302,http://www.bilibili.com/video/av828407070
