标题,播放量,评论数,收藏数,点赞数,视频时长,视频链接
【大学物理】东北大学-马文蔚,242620,9185,[],501222,319835,http://www.bilibili.com/video/av19087994
【大学物理】3小时不挂|大物,5682,3112,[],137514,111246,http://www.bilibili.com/video/av456979488
《大学物理》重点笔记+知识点总结+公式，复习考试速成资料！,0,7,[],50,20,http://www.bilibili.com/video/av1804158435
【收藏版】《大学物理》精讲课 | 一帆哥 | 高数叔,8904,747,[],81744,36923,http://www.bilibili.com/video/av587078884
大学物理《力学》 3小时期末不挂科|附赠讲义,0,0,[],0,0,https://www.bilibili.com/cheese/play/ss76?query_from=0&search_id=479293146770512040&search_query=%E5%A4%A7%E5%AD%A6%E7%89%A9%E7%90%86
【懂与应试·可以兼得】五年磨课：最易懂的大学物理课|大物|力学|热学|电磁学|光学|振动与波|刚体|普物·普通物理学|不挂科|专升本|考研打基础|军队文职,8205,3303,[],108893,65282,http://www.bilibili.com/video/av93558901
大学物理马文蔚【最新最全修复版】大学物理下（大学物理电磁学大学物理上大学物理静电场大学物理光学大学物理速成大学物理简明教程大学物理答案大学物理马文蔚笔记）,1784,363,[],14494,6825,http://www.bilibili.com/video/av448799317
大学物理——东南大学,30117,1525,[],77032,34482,http://www.bilibili.com/video/av24176445
大学物理力学、电磁学、振动、热力学、光学期末速成，考试不挂科，考点总结一网打尽,3019,316,[],28277,15874,http://www.bilibili.com/video/av269146395
《大物/大学物理》11小时快速突击，期末不挂科【蜂考】,18224,4242,[],138287,92640,http://www.bilibili.com/video/av17564359
大学物理《振动与波动》1小时期末不挂科|附赠讲义,0,0,[],0,0,https://www.bilibili.com/cheese/play/ss78?query_from=0&search_id=479293146770512040&search_query=%E5%A4%A7%E5%AD%A6%E7%89%A9%E7%90%86
清华大学-大学物理（国家级精品课）,19045,937,[],79957,25583,http://www.bilibili.com/video/av62570808
【大学物理】马文蔚 公开课,130,16,[],1345,563,http://www.bilibili.com/video/av928670201
大学物理上知识点总结,1158,322,[],14870,8405,http://www.bilibili.com/video/av399247704
大学物理（汇总版）   黎光旭主讲  （普通物理）力学，振动与波，相对论，电磁学  马文蔚物理学第七版,9110,495,[],22734,10228,http://www.bilibili.com/video/av99275730
【大学物理】大学物理(上) 全78集 北工大 北京工业大学 1-10章,4794,157,[],19786,8402,http://www.bilibili.com/video/av95793623
《大学物理》电磁篇（静电场、稳恒磁场、变化的电场与变化的磁场）——西安电子科技大学,1150,408,[],12050,6691,http://www.bilibili.com/video/av562498283
4小时通关大学物理——直播回放,2069,536,[],12170,8492,http://www.bilibili.com/video/av53751927
6小时《大学物理》考前急救 · 期末突击课 · 物理力学/热力学/振动/光学大学课程【大学答案君】,8092,1015,[],38634,29278,http://www.bilibili.com/video/av78969713
【大学物理—力学】  期末不挂科|2小时速成课  大物力学 （张云翼老师） 期末复习|考前必看|临时抱佛脚,916,453,[],4200,2721,http://www.bilibili.com/video/av536529413
国防科技大学 - 大学物理（国家级精品课）,457,99,[],8489,2530,http://www.bilibili.com/video/av891917156
【期末速成课】  大学物理（视频+题目） | 期末突击课,4186,490,[],16253,8492,http://www.bilibili.com/video/av869663079
大学物理  哈工大,5068,418,[],9419,3306,http://www.bilibili.com/video/av16182745
大学物理期末考试速通（力学篇）,128,277,[],8043,5684,http://www.bilibili.com/video/av272145910
【强烈推荐】大学物理知识点回顾与典型题解析,2838,345,[],21401,10885,http://www.bilibili.com/video/av925803421
【懂与应试·可以兼得】五年磨课：超高效的大物应试课|大学物理|力学|热学|电磁学|光学|振动与波|刚体|普物·普通物理学|不挂科|专升本|考研打基础|军队文职,896,658,[],15606,10579,http://www.bilibili.com/video/av968413510
2019-2020-4-大一春季《大学物理-上》完整版本75课时,1791,269,[],6569,3895,http://www.bilibili.com/video/av328097442
清华大学普通物理 (杨振宁先生主讲，共30讲),11225,3286,[],116679,38796,http://www.bilibili.com/video/av1085694
大学物理（最适合考试的视频，有大量例题讲解）,1451,256,[],9696,3308,http://www.bilibili.com/video/av71301810
《大学物理(1)》期末速通教程,654,356,[],13238,6103,http://www.bilibili.com/video/av725679888
大学物理下（电磁学、光学）,7041,244,[],26911,15119,http://www.bilibili.com/video/av69680741
大学物理  刚体的定轴转动,2846,163,[],9814,9204,http://www.bilibili.com/video/av94910061
【大学物理】上海交通大学  高景,841,123,[],12743,3842,http://www.bilibili.com/video/av53603350
免费【大物】大学物理期末复习速成课光学#力学#波动#热学#电磁学,1541,343,[],26383,13157,http://www.bilibili.com/video/av57097232
【公开课】耶鲁大学：基础物理（全49讲）,1963,533,[],36825,9462,http://www.bilibili.com/video/av799642125
【公开课】西安交通大学：大学物理——机械振动、波和波动光学,3122,236,[],13870,7655,http://www.bilibili.com/video/av67016615
