标题,播放量,评论数,收藏数,点赞数,视频时长,视频链接
《高等数学》同济版 全程教学视频（宋浩老师）,149840942,64917,2505778,2438374,5572:33,http://www.bilibili.com/video/av48624233
【大学数学】高等数学(上) （建议收藏）,2539619,1686,150925,72624,36:27,http://www.bilibili.com/video/av371607596
【宋浩】大学期末高等数学·上速成课-图书工作日寄,31742,0,0,0,,https://www.bilibili.com/cheese/play/ss14265?query_from=0&search_id=10100302653487098010&search_query=%E5%A4%A7%E5%AD%A6%E6%95%B0%E5%AD%A6
大学数学系列课程（高等数学） 第九章 第三节 三重积分（续）,362,0,1,4,25:44,http://www.bilibili.com/video/av1904172883
【高等数学(下)】3小时不挂|微积分|高数,7768466,8011,164907,148587,96:21,http://www.bilibili.com/video/av24410308
【高等数学（上）】6小时从0基础直追满绩！,6431277,2349,334000,230546,356:35,http://www.bilibili.com/video/av977772666
《高等数学》同济版，零废话，超精讲！【孔祥仁】,3957487,5017,140265,78740,7640:25,http://www.bilibili.com/video/av773706907
《高等数学(下)》6小时速成课（突击课，适合高等数学（微积分）期末考试、期中考试、补考、重修、专升本，考试不挂科）,2350251,3989,95124,73973,422:0,http://www.bilibili.com/video/av529135205
来自大学数学的压迫感,1201438,1504,31906,63347,1:36,http://www.bilibili.com/video/av664105647
【降维打击】强基系列：如何用大学方法秒解高中数学难题,153965,171,13562,4752,225:14,http://www.bilibili.com/video/av457407095
【大学数学】高等数学(下)（建议收藏）,401764,157,28006,8987,85:4,http://www.bilibili.com/video/av841906665
粉丝问题，大学数学都有啥，我听过的网课全推荐，学习顺序,40633,102,2848,1440,30:25,http://www.bilibili.com/video/av529721022
《线性代数》4小时速成课（突击课，适合大学数学的期末考试、期中考试、补考、重修，考试不挂科。）,6587297,7187,239169,211087,292:30,http://www.bilibili.com/video/av802620349
《概率论与数理统计》4小时速成课（突击课，适合大学数学期末考试、期中考试、补考、重修、专升本，考试不挂科）,4025525,3597,129048,104688,278:23,http://www.bilibili.com/video/av229588634
【北京大学公开课】数学分析（上下全112讲无级数部分）,768128,937,43306,12498,5591:46,http://www.bilibili.com/video/av459577800
大学数学一定要有有目的再去学，少走好多弯路真的。,80605,101,2114,3984,1:35,http://www.bilibili.com/video/av534820943
大学数学第一课：数列的极限！,361805,1402,5956,20388,19:2,http://www.bilibili.com/video/av747483950
【500集全 -数学英文版】纯英文教学 小学到大学数学大合集,362890,205,44020,6251,5677:7,http://www.bilibili.com/video/av286626119
大学数学专业《解析几何》教学视频--唐舜主讲,6543,13,603,155,3126:3,http://www.bilibili.com/video/av1150880735
大学数学同步课程_高等数学上(合集),149213,79,5876,2444,2714:45,http://www.bilibili.com/video/av73190484
《全国大学生数学竞赛》精品指导课（非数学类）,5991,0,0,0,,https://www.bilibili.com/cheese/play/ss12590?query_from=0&search_id=10100302653487098010&search_query=%E5%A4%A7%E5%AD%A6%E6%95%B0%E5%AD%A6
【高等数学（下）】2022 通关速学 第1章 空间向量与几何,643399,574,22974,17886,63:38,http://www.bilibili.com/video/av257012824
【高等数学(上)】3小时不挂|微积分|高数,10517739,12517,323774,286909,69:55,http://www.bilibili.com/video/av884439424
【高等数学】上海交通大学-乐经良,7200841,5660,247562,116878,5946:41,http://www.bilibili.com/video/av19027609
4分钟看完小学到大学的数学,71562,122,2895,2303,4:34,http://www.bilibili.com/video/av529820999
高等数学 专题一 求极限 (初学者版）,289317,370,15301,11744,95:26,http://www.bilibili.com/video/av441005981
高等数学(下),19343,0,0,0,,https://www.bilibili.com/cheese/play/ss12370?query_from=0&search_id=10100302653487098010&search_query=%E5%A4%A7%E5%AD%A6%E6%95%B0%E5%AD%A6
【完整版】《高数/高等数学 上》9小时系统学习|期末拿高分【蜂考】,999391,932,33054,20176,528:41,http://www.bilibili.com/video/av71705564
【收藏版】《高等数学》精讲课程全集 | 姑姑主讲 | 高数叔,4268162,3116,110526,67629,4770:58,http://www.bilibili.com/video/av586786736
【160集全集】美国数学课程-从小学到大学-中英cc字幕-数学英语,470782,633,57966,19554,1295:0,http://www.bilibili.com/video/av216894814
清华大学数学系的平凡日常,1853180,2301,43849,125593,13:10,http://www.bilibili.com/video/av48418841
大学数学通用学习方法,47351,130,5731,2735,82:52,http://www.bilibili.com/video/av535518817
同济版高等数学视频全集（主讲人袁学刚，教学名师）,13033,0,0,0,,https://www.bilibili.com/cheese/play/ss5811?query_from=0&search_id=10100302653487098010&search_query=%E5%A4%A7%E5%AD%A6%E6%95%B0%E5%AD%A6
"很水的数学分析(整整300课时(更新中)!清华学长的超详细保姆式教学,学霸慎入)",369468,1006,17277,7635,10143:47,http://www.bilibili.com/video/av859119009
【高等数学上】期末速成——高分通关,8258,24,256,215,423:51,http://www.bilibili.com/video/av665753529
不定积分难学？1h全面入门到精通！|学渣救星,696671,992,37945,34486,86:2,http://www.bilibili.com/video/av919049077
【小白向】大学数学怎么学？献给所有的数学专业大一萌新,14548,48,591,482,16:46,http://www.bilibili.com/video/av702093237
《高等数学(上)》6小时速成课（突击课，适合高等数学(微积分)期末考试、期中考试、补考、重修、专升本，考试不挂科）,1655256,3179,63612,47181,435:53,http://www.bilibili.com/video/av487570649
【大学数学】线性代数（建议收藏）,242121,172,13096,5176,71:31,http://www.bilibili.com/video/av841966503
这些up主是中学生和大学生的救星啊啊啊啊啊！！！学习方法｜免费课程｜兴趣技能｜生涯规划,6028135,6669,748147,581436,5:29,http://www.bilibili.com/video/av510624331
泰勒公式，39分钟，小白也直接上手！|高等数学,587442,643,27740,22919,39:8,http://www.bilibili.com/video/av408761440
官方认证：最优秀的大学数学教材,107279,421,3642,2059,7:22,http://www.bilibili.com/video/av933512190
清华大学数学系的平凡日常,1853180,2301,43849,125593,13:10,http://www.bilibili.com/video/av48418841
大学数学通用学习方法,47351,130,5731,2735,82:52,http://www.bilibili.com/video/av535518817
"很水的数学分析(整整300课时(更新中)!清华学长的超详细保姆式教学,学霸慎入)",369468,1006,17277,7635,10143:47,http://www.bilibili.com/video/av859119009
【高等数学上】期末速成——高分通关,8258,24,256,215,423:51,http://www.bilibili.com/video/av665753529
不定积分难学？1h全面入门到精通！|学渣救星,696671,992,37945,34486,86:2,http://www.bilibili.com/video/av919049077
同济版高等数学视频全集（主讲人袁学刚，教学名师）,13033,0,0,0,,https://www.bilibili.com/cheese/play/ss5811?query_from=0&search_id=16457223298841450795&search_query=%E5%A4%A7%E5%AD%A6%E6%95%B0%E5%AD%A6
【小白向】大学数学怎么学？献给所有的数学专业大一萌新,14548,48,591,482,16:46,http://www.bilibili.com/video/av702093237
《高等数学(上)》6小时速成课（突击课，适合高等数学(微积分)期末考试、期中考试、补考、重修、专升本，考试不挂科）,1655256,3179,63612,47181,435:53,http://www.bilibili.com/video/av487570649
【大学数学】线性代数（建议收藏）,242121,172,13096,5176,71:31,http://www.bilibili.com/video/av841966503
这些up主是中学生和大学生的救星啊啊啊啊啊！！！学习方法｜免费课程｜兴趣技能｜生涯规划,6028135,6669,748147,581436,5:29,http://www.bilibili.com/video/av510624331
泰勒公式，39分钟，小白也直接上手！|高等数学,587442,643,27740,22919,39:8,http://www.bilibili.com/video/av408761440
官方认证：最优秀的大学数学教材,107279,421,3642,2059,7:22,http://www.bilibili.com/video/av933512190
南开大学 大学文科数学,253674,676,9564,4920,4810:57,http://www.bilibili.com/video/av36070442
【高等数学（下）】2022 通关速学 第5章 无穷级数,477884,486,9411,14885,83:14,http://www.bilibili.com/video/av982096417
【全国大学生数学竞赛课程】【强烈推荐】,1144172,1731,65028,27228,1300:0,http://www.bilibili.com/video/av88101308
卷绩点有意义吗？「大学数学」满分指南？【经验方法+常见误区】,59269,291,1658,3326,10:8,http://www.bilibili.com/video/av326355821
《b站大学数学系学习指南》,45416,152,5076,2026,6:34,http://www.bilibili.com/video/av649675808
数学物理方法（武汉大学）周国全老师 1080p高清修复（全集）,46129,50,2315,841,3790:18,http://www.bilibili.com/video/av450312506
俗说矩阵：B站最宝藏的线性代数视频系列！一学就懂！,408310,962,32051,15155,454:47,http://www.bilibili.com/video/av992987520
【高等数学】极限求解的常见方法,1729522,1308,108468,101852,31:22,http://www.bilibili.com/video/av372547870
[大一萌新必备]高中-大学数学衔接知识,163689,170,10590,4803,303:49,http://www.bilibili.com/video/av762165476
【大一必关注】同济大学第七版《高等数学》|应是全网高数|微积分学习的最佳配套视频！,803248,369,19815,17693,2074:55,http://www.bilibili.com/video/av472967313
北大学长讲透《高等数学》（合集更新中）｜这可能是你能听到的最好的高数教程,64665,241,2173,1731,3176:23,http://www.bilibili.com/video/av988557426
【数学】高等数学 同济大学 李雨生等主讲,285023,121,11371,3378,3021:7,http://www.bilibili.com/video/av41855044
